City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,La Rioja,HT,42.25,-2.5,44.38,77,100,8.77,overcast clouds
336,Basco,HT,20.4487,121.9702,75.79,77,98,27.49,overcast clouds
337,Kibre Mengist,HT,5.8833,38.9833,78.55,22,38,11.1,scattered clouds
338,Dharchula,HT,29.85,80.5333,52.57,72,42,1.88,scattered clouds
339,Nhulunbuy,HT,-12.2333,136.7667,79.41,83,100,10.36,overcast clouds
340,Vao,HT,-22.6667,167.4833,77.11,85,62,12.68,broken clouds
341,Kure,HT,34.2333,132.5667,41.95,59,40,5.99,scattered clouds
342,Port Moresby,HT,-9.4431,147.1797,76.42,83,100,6.91,overcast clouds
343,Agua Verde,HT,22.9,-106.05,67.37,64,61,5.01,broken clouds
344,Preobrazheniye,HT,42.9019,133.9064,15.51,66,1,7.54,clear sky
345,Datong,HT,40.0936,113.2914,18.37,33,0,4.52,clear sky
346,Almaznyy,HT,48.0448,40.045,40.21,86,73,12.53,broken clouds
347,Manacapuru,HT,-3.2997,-60.6206,76.37,89,99,2.89,overcast clouds
348,Portland,HT,45.5234,-122.6762,52.61,95,75,8.99,broken clouds
349,Nur,HT,52.6683,22.3221,45.19,79,86,15.41,overcast clouds
350,Kurilsk,HT,45.2333,147.8833,25.52,67,99,12.95,overcast clouds
351,Constanta,HT,44.1833,28.65,52.7,62,84,9.17,broken clouds
352,Surt,HT,31.2089,16.5887,64.67,48,98,2.95,overcast clouds
353,Pisco,HT,-13.7,-76.2167,66.25,88,100,13.8,overcast clouds
354,Lengshuijiang,HT,27.6881,111.4294,45.0,65,12,3.04,few clouds
355,Elizabeth City,HT,36.2946,-76.2511,37.42,87,0,0.0,clear sky
356,Lieto,HT,60.5103,22.4618,40.96,96,75,6.91,broken clouds
357,Natal,HT,-5.795,-35.2094,83.05,69,40,17.27,scattered clouds
358,Gillette,HT,44.2911,-105.5022,23.92,67,0,12.66,clear sky
359,Neepawa,HT,50.2289,-99.4664,1.8,93,22,6.4,few clouds
360,Chikwawa,HT,-16.0335,34.8009,79.47,86,100,2.64,overcast clouds
361,Lata,HT,40.1629,-8.3327,61.07,88,100,8.43,overcast clouds
362,Coquimbo,HT,-29.9533,-71.3436,58.73,100,100,6.91,mist
363,Simao,HT,22.7886,100.9748,52.65,98,100,2.59,overcast clouds
364,Del Rio,HT,29.3627,-100.8968,51.91,76,20,6.91,few clouds
365,Bubaque,HT,11.2833,-15.8333,78.49,63,100,12.19,overcast clouds
366,Saint Simons,HT,31.1352,-81.3901,57.24,70,100,4.61,overcast clouds
367,Ust-Nera,HT,64.5667,143.2,-12.12,99,100,1.79,overcast clouds
368,Cukai,HT,4.25,103.4167,82.35,78,99,12.48,overcast clouds
369,Komsomolskiy,HT,40.4272,71.7189,39.92,75,73,4.61,mist
370,Port Dover,HT,42.7834,-80.1997,52.41,89,100,14.0,overcast clouds
371,Leningradskiy,HT,69.3833,178.4167,-17.54,94,100,10.92,overcast clouds
