City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Tazovskiy,RU,2022-12-30 06:59:23,67.4667,78.7,-29.11,100,56,3.85
161,Chandauli,IN,2022-12-30 06:59:24,25.2667,83.2667,68.05,24,0,5.99
162,Sur,OM,2022-12-30 06:59:24,22.5667,59.5289,74.59,45,3,17.34
163,Batemans Bay,AU,2022-12-30 06:59:25,-35.7167,150.1833,67.1,69,22,9.91
164,Englehart,CA,2022-12-30 06:59:26,47.8169,-79.8664,37.96,100,100,12.66
165,Dingle,PH,2022-12-30 06:59:26,10.9995,122.6711,83.57,76,100,8.5
166,Kandrian,PG,2022-12-30 06:59:27,-6.2167,149.55,81.23,76,100,5.06
167,Biltine,TD,2022-12-30 06:59:28,14.5333,20.9167,63.81,22,2,15.7
168,Sao Filipe,CV,2022-12-30 06:59:32,14.8961,-24.4956,71.73,62,28,7.45
169,Buala,SB,2022-12-30 06:59:32,-8.145,159.5921,82.76,79,97,8.99
170,Encantado,BR,2022-12-30 06:59:33,-29.2361,-51.8697,62.06,78,0,3.31
171,Awjilah,LY,2022-12-30 06:59:35,29.1081,21.2869,56.21,80,4,4.56
172,Pevek,RU,2022-12-30 06:59:36,69.7008,170.3133,-31.11,100,100,2.82
173,Puerto Del Rosario,ES,2022-12-30 06:59:36,28.5004,-13.8627,62.35,72,0,3.44
174,Boyuibe,BO,2022-12-30 06:59:37,-20.4167,-63.2833,68.67,64,100,4.0
175,Georgiyevka,KZ,2022-12-30 06:59:37,43.0369,74.7114,33.84,93,100,2.24
176,Follebu,NO,2022-12-30 06:59:37,61.216,10.2851,18.05,98,100,2.86
177,Maceio,BR,2022-12-30 06:59:38,-9.6658,-35.7353,76.44,94,75,3.44
178,Eureka,US,2022-12-30 06:57:01,40.8021,-124.1637,56.62,95,100,5.01
179,Jagtial,IN,2022-12-30 06:59:39,18.8,78.9333,86.99,36,47,1.57
180,San Policarpo,PH,2022-12-30 06:59:40,12.1791,125.5072,81.45,82,100,6.67
181,Hoquiam,US,2022-12-30 07:00:40,46.9809,-123.8893,47.28,98,100,5.99
182,Tual,ID,2022-12-30 07:00:41,-5.6667,132.75,83.8,75,100,20.24
183,Sheoganj,IN,2022-12-30 07:00:42,25.15,73.0667,76.39,35,0,7.76
184,Camacha,PT,2022-12-30 07:00:43,33.0833,-16.3333,60.22,88,20,6.91
185,Mtsamboro,YT,2022-12-30 07:00:43,-12.6998,45.0689,78.12,69,42,12.62
186,Ancud,CL,2022-12-30 07:00:44,-41.8697,-73.8203,48.81,91,45,2.77
187,Chimbote,PE,2022-12-30 07:00:45,-9.0853,-78.5783,68.25,86,90,6.31
188,Houston,US,2022-12-30 06:58:19,29.7633,-95.3633,69.15,91,100,9.22
189,San Cristobal,VE,2022-12-30 07:00:46,7.7669,-72.225,63.03,93,11,1.32
190,Mahajanga,MG,2022-12-30 07:00:46,-15.7167,46.3167,86.02,66,20,9.22
191,Bojnurd,IR,2022-12-30 07:00:47,37.4747,57.329,38.46,62,4,2.28
192,Kavieng,PG,2022-12-30 07:00:48,-2.5744,150.7967,80.02,79,97,9.19
193,Pechora,RU,2022-12-30 07:00:48,65.1472,57.2244,-15.45,99,14,3.91
194,Vostok,RU,2022-12-30 07:00:49,46.4856,135.8833,-1.16,97,76,2.68
195,Kununurra,AU,2022-12-30 07:00:49,-15.7667,128.7333,80.58,94,40,8.05
196,Carnarvon,AU,2022-12-30 07:00:50,-24.8667,113.6333,83.28,58,0,25.08
197,Jamestown,US,2022-12-30 06:57:11,42.097,-79.2353,51.44,76,100,10.36
198,Muscat,OM,2022-12-30 06:57:47,23.6139,58.5922,72.57,42,19,5.12
199,Kushiro,JP,2022-12-30 07:00:52,42.975,144.3747,28.44,67,16,1.01
200,Katsuura,JP,2022-12-30 07:00:54,35.1333,140.3,49.73,50,99,4.23
201,Tera,NE,2022-12-30 07:00:54,14.0078,0.7531,62.53,28,2,10.36
202,Fairbanks,US,2022-12-30 06:57:33,64.8378,-147.7164,-1.91,85,27,2.86
203,Trebisacce,IT,2022-12-30 07:00:55,39.8708,16.5312,45.36,57,28,2.51
204,Lorengau,PG,2022-12-30 07:00:56,-2.0226,147.2712,77.56,85,100,10.27
205,Bingol,TR,2022-12-30 07:00:56,38.8847,40.4939,38.37,41,0,3.36
206,Mehamn,NO,2022-12-30 07:00:57,71.0357,27.8492,22.95,68,0,29.93
207,Sitka,US,2022-12-30 07:00:57,57.0531,-135.33,35.46,91,100,9.98
208,Barra Do Garcas,BR,2022-12-30 07:00:58,-15.89,-52.2567,70.3,97,100,2.66
209,Sorgun,TR,2022-12-30 07:00:58,39.8101,35.186,37.49,64,0,2.95
210,Yongan,CN,2022-12-30 07:00:59,39.6957,113.6871,22.98,23,0,5.61
211,Sechura,PE,2022-12-30 07:00:59,-5.5569,-80.8222,69.04,83,19,5.55
212,Makasar,ID,2022-12-30 07:01:00,-5.14,119.4221,73.45,88,75,12.66
213,Buchanan,LR,2022-12-30 07:01:01,5.8808,-10.0467,74.59,91,45,4.9
214,Pervomayskoye,RU,2022-12-30 07:01:01,43.919,46.7102,36.93,56,80,3.58
215,Georgetown,MY,2022-12-30 07:00:39,5.4112,100.3354,89.53,40,20,11.5
216,Sinnamary,GF,2022-12-30 07:01:07,5.3833,-52.95,75.76,88,95,7.2
217,Houma,US,2022-12-30 06:57:35,29.5958,-90.7195,68.0,94,40,13.8
218,Paine,CL,2022-12-30 07:01:11,-33.8167,-70.75,72.72,59,0,0.85
219,Hithadhoo,MV,2022-12-30 07:01:13,-0.6,73.0833,80.26,74,9,4.14
220,Pontianak,ID,2022-12-30 07:01:15,-0.0333,109.3333,89.58,52,40,17.27
221,Guerrero Negro,MX,2022-12-30 07:01:19,27.9769,-114.0611,58.77,82,4,10.31
222,Coquimbo,CL,2022-12-30 07:01:23,-29.9533,-71.3436,61.81,87,64,2.24
223,Ust-Maya,RU,2022-12-30 07:01:27,60.4167,134.5333,-13.52,100,100,0.36
224,Nome,US,2022-12-30 07:01:29,64.5011,-165.4064,2.89,87,100,6.96
225,Itaituba,BR,2022-12-30 07:01:31,-4.2761,-55.9836,72.32,99,100,0.65
