City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,Kalmunai,HT,78.53,overcast clouds,7.4167,81.8167,VS Villa
305,Isugod,HT,78.37,overcast clouds,9.3408,118.1196,
308,Namatanai,HT,78.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
314,Katobu,HT,78.78,light rain,-4.9408,122.5276,La Ode Husein
316,Porto Murtinho,HT,85.06,scattered clouds,-21.6989,-57.8825,Hotel Pantanal
317,Urucui,HT,84.81,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
322,Hambantota,HT,86.34,few clouds,6.1241,81.1185,Bungalow 63
323,Omboue,HT,83.84,light rain,-1.5746,9.2618,Hotel Olako
324,Mbandaka,HT,88.7,overcast clouds,0.0487,18.2603,Guest House Epervier
330,Manokwari,HT,78.73,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
331,Ranong,HT,82.33,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
332,Sokoto,HT,81.14,clear sky,13.0609,5.239,Grand Ibro Hotel
336,Basco,HT,75.79,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
337,Kibre Mengist,HT,78.55,scattered clouds,5.8833,38.9833,kal beauty salone adola
339,Nhulunbuy,HT,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
340,Vao,HT,77.11,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
342,Port Moresby,HT,76.42,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
347,Manacapuru,HT,76.37,overcast clouds,-3.2997,-60.6206,Novo Hotel
357,Natal,HT,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
360,Chikwawa,HT,79.47,overcast clouds,-16.0335,34.8009,Thawale Lodge
365,Bubaque,HT,78.49,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
368,Cukai,HT,82.35,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
373,Gombong,HT,77.65,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
374,Santa Cruz,HT,77.05,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
375,Fare,HT,80.53,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
376,Cururupu,HT,83.7,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
378,Gizo,HT,82.44,overcast clouds,-8.103,156.8419,Imagination Island
379,Mogadishu,HT,84.07,few clouds,2.0371,45.3438,Hotel Juba
380,Saint-Pierre,HT,83.88,light rain,-21.3393,55.4781,Alize Plage
382,General Roca,HT,79.41,broken clouds,-39.0333,-67.5833,Hotel El Recreo
387,Carutapera,HT,82.63,scattered clouds,-1.195,-46.02,Lidera
391,Kikwit,HT,85.77,light rain,-5.041,18.8162,HOTEL PLACE YALABA
400,Moron,HT,81.01,clear sky,-34.6534,-58.6198,Hotel Morón
401,Harper,HT,85.84,scattered clouds,4.375,-7.7169,Screensaver
405,Siocon,HT,77.27,overcast clouds,7.7061,122.1353,ABS Hotel
406,Namibe,HT,76.68,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
411,Suleja,HT,88.79,scattered clouds,9.1758,7.1808,Capy Motel
419,Karratha,HT,86.16,few clouds,-20.7377,116.8463,ibis Styles Karratha
428,Abonnema,HT,86.29,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
429,Tombouctou,HT,77.83,overcast clouds,20.0,-3.0,
431,Biak,HT,78.13,overcast clouds,-0.9131,122.8766,Penginapan Kim
432,Pandan Niog,HT,81.9,overcast clouds,6.2282,120.5631,
437,Bandarbeyla,HT,79.79,broken clouds,9.4942,50.8122,JABIR HOTEL
444,Capim Grosso,HT,78.48,scattered clouds,-11.3811,-40.0128,Hotel Veloso
447,Humberto De Campos,HT,83.39,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
448,Ambilobe,HT,86.83,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
451,Fougamou,HT,88.92,light rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
453,Dwarka,HT,75.58,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
454,Kirakira,HT,80.49,overcast clouds,-10.4544,161.9205,SanBiz Lodge
458,Sao Miguel Do Araguaia,HT,77.41,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
463,Lumut,HT,82.42,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
466,Tambopata,HT,75.09,heavy intensity rain,-12.7333,-69.1833,Enashawa Lodge
469,Cabedelo,HT,84.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
472,Saldanha,HT,80.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
473,Dhidhdhoo,HT,81.3,broken clouds,6.8833,73.1,Dhidhoo beach
479,Tres Arroyos,HT,81.75,broken clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
483,Mabaruma,HT,75.74,few clouds,8.2,-59.7833,Monty Brooms Guest House
486,Kimbe,HT,77.16,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
490,Samarai,HT,78.22,overcast clouds,-10.6167,150.6667,Nuli Sapi
493,Menongue,HT,86.92,overcast clouds,-14.6585,17.691,Ritz Lauca
494,Kloulklubed,HT,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
497,Simbahan,HT,81.84,overcast clouds,6.3032,120.5836,
500,Kavaratti,HT,82.51,scattered clouds,10.5669,72.642,Green leaf
504,Alofi,HT,75.09,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
506,Galle,HT,80.17,overcast clouds,6.0367,80.217,Amangalla
507,Muli,HT,81.75,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
508,Touros,HT,84.34,few clouds,-5.1989,-35.4608,INN NEW HORIZON
511,Vila Velha,HT,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
513,Grand Gaube,HT,84.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
514,Tacuarembo,HT,81.01,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
515,Nortelandia,HT,76.3,overcast clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
516,Porbandar,HT,78.58,clear sky,21.6422,69.6093,Lords Inn Porbandar
517,Ambulu,HT,77.92,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
520,Taoudenni,HT,78.4,overcast clouds,22.6783,-3.9836,
521,Ugoofaaru,HT,81.1,broken clouds,5.6667,73.0,Ungoofaaru Inn
522,Miri,HT,80.17,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
523,Nieuw Amsterdam,HT,78.03,broken clouds,5.8833,-55.0833,Hotel Stardust
530,Moree,HT,77.72,scattered clouds,-29.4667,149.85,Molika Springs Motel
535,Boa Vista,HT,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
541,Goundam,HT,80.76,overcast clouds,16.4145,-3.6708,
543,Waingapu,HT,79.5,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
546,Daru,HT,78.3,moderate rain,-9.0763,143.2092,Daru Lodge
549,Manjacaze,HT,80.73,light rain,-24.7117,33.8828,Hotel Gani
553,Berbera,HT,81.25,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
